iter	Passed	Remaining
0	159	159614
1	177	88383
2	189	62854
3	203	50575
4	215	42848
5	224	37248
6	234	33290
7	245	30429
8	254	28052
9	264	26138
10	272	24478
11	281	23156
12	289	21965
13	297	20950
14	306	20118
15	314	19347
16	322	18649
17	330	18051
18	338	17487
19	347	17043
20	357	16669
21	368	16385
22	378	16065
23	385	15670
24	393	15347
25	401	15038
26	409	14764
27	417	14488
28	425	14232
29	432	13986
30	440	13769
31	448	13552
32	455	13335
33	462	13128
34	470	12964
35	477	12778
36	484	12606
37	491	12433
38	498	12280
39	505	12128
40	512	11997
41	520	11866
42	527	11731
43	533	11591
44	540	11462
45	546	11342
46	553	11221
47	560	11118
48	567	11015
49	574	10915
50	581	10824
51	588	10732
52	595	10648
53	603	10563
54	610	10481
55	617	10411
56	624	10337
57	631	10261
58	639	10202
59	646	10134
60	654	10069
61	661	10008
62	668	9945
63	675	9881
64	682	9821
65	689	9760
66	696	9698
67	703	9643
68	710	9591
69	718	9541
70	725	9495
71	733	9451
72	740	9408
73	747	9358
74	755	9318
75	762	9273
76	770	9240
77	777	9192
78	784	9149
79	792	9119
80	800	9084
81	807	9042
82	815	9006
83	822	8970
84	835	8998
85	843	8966
86	850	8927
87	858	8893
88	864	8852
89	872	8819
90	879	8783
91	886	8751
92	893	8713
93	900	8678
94	907	8642
95	914	8608
96	922	8583
97	929	8552
98	936	8524
99	943	8492
100	950	8464
101	958	8436
102	965	8411
103	972	8381
104	980	8353
105	987	8327
106	994	8296
107	1001	8270
108	1008	8239
109	1015	8212
110	1022	8187
111	1029	8160
112	1037	8140
113	1043	8113
114	1051	8091
115	1058	8064
116	1065	8041
117	1072	8018
118	1079	7992
119	1086	7967
120	1093	7944
121	1100	7918
122	1106	7890
123	1113	7868
124	1120	7845
125	1127	7822
126	1135	7805
127	1142	7783
128	1149	7760
129	1156	7739
130	1164	7722
131	1171	7700
132	1177	7675
133	1184	7656
134	1192	7638
135	1199	7618
136	1206	7598
137	1213	7582
138	1221	7567
139	1228	7547
140	1237	7536
141	1244	7519
142	1252	7508
143	1260	7490
144	1267	7475
145	1274	7456
146	1281	7437
147	1288	7418
148	1296	7404
149	1303	7385
150	1310	7369
151	1318	7354
152	1325	7336
153	1332	7320
154	1339	7303
155	1346	7285
156	1353	7268
157	1360	7251
158	1367	7233
159	1374	7216
160	1381	7199
161	1388	7183
162	1396	7169
163	1403	7153
164	1410	7139
165	1417	7123
166	1424	7103
167	1431	7089
168	1438	7073
169	1445	7058
170	1452	7040
171	1459	7025
172	1466	7011
173	1473	6994
174	1480	6980
175	1487	6965
176	1494	6951
177	1502	6938
178	1510	6927
179	1517	6912
180	1524	6898
181	1531	6883
182	1538	6869
183	1545	6854
184	1552	6839
185	1559	6827
186	1567	6812
187	1574	6800
188	1581	6786
189	1588	6771
190	1595	6757
191	1602	6741
192	1609	6728
193	1616	6715
194	1623	6702
195	1630	6689
196	1637	6675
197	1644	6660
198	1650	6645
199	1658	6632
200	1665	6619
201	1672	6609
202	1680	6597
203	1688	6589
204	1696	6580
205	1703	6566
206	1711	6555
207	1718	6542
208	1725	6531
209	1733	6520
210	1740	6507
211	1747	6494
212	1754	6482
213	1761	6469
214	1768	6456
215	1775	6443
216	1782	6431
217	1789	6418
218	1795	6404
219	1802	6392
220	1809	6378
221	1816	6365
222	1823	6354
223	1830	6341
224	1837	6329
225	1844	6316
226	1851	6303
227	1857	6290
228	1864	6277
229	1871	6264
230	1878	6252
231	1884	6239
232	1891	6227
233	1898	6215
234	1905	6204
235	1913	6193
236	1920	6181
237	1927	6169
238	1933	6157
239	1940	6145
240	1947	6133
241	1954	6122
242	1961	6111
243	1968	6099
244	1975	6087
245	1981	6074
246	1989	6064
247	1996	6052
248	2003	6041
249	2010	6030
250	2017	6020
251	2024	6008
252	2030	5996
253	2037	5984
254	2044	5972
255	2051	5963
256	2059	5952
257	2065	5941
258	2072	5930
259	2080	5920
260	2087	5911
261	2094	5900
262	2102	5891
263	2109	5882
264	2117	5873
265	2124	5861
266	2131	5851
267	2138	5841
268	2145	5830
269	2152	5819
270	2159	5808
271	2166	5797
272	2173	5787
273	2180	5777
274	2187	5767
275	2194	5756
276	2201	5747
277	2208	5736
278	2216	5727
279	2223	5716
280	2229	5705
281	2237	5696
282	2244	5685
283	2251	5675
284	2258	5664
285	2265	5656
286	2272	5645
287	2279	5634
288	2286	5624
289	2292	5613
290	2299	5603
291	2306	5591
292	2312	5580
293	2319	5568
294	2325	5557
295	2332	5547
296	2339	5538
297	2346	5527
298	2353	5516
299	2360	5506
300	2366	5495
301	2373	5486
302	2380	5476
303	2387	5465
304	2394	5455
305	2401	5445
306	2408	5436
307	2415	5426
308	2422	5417
309	2430	5409
310	2438	5401
311	2446	5394
312	2454	5387
313	2461	5378
314	2469	5369
315	2475	5359
316	2483	5350
317	2490	5340
318	2497	5330
319	2504	5321
320	2511	5311
321	2518	5303
322	2526	5296
323	2533	5286
324	2541	5278
325	2548	5269
326	2555	5259
327	2562	5249
328	2569	5240
329	2577	5232
330	2585	5224
331	2592	5215
332	2599	5206
333	2606	5196
334	2612	5186
335	2620	5177
336	2626	5167
337	2633	5158
338	2640	5148
339	2647	5139
340	2654	5129
341	2660	5119
342	2667	5110
343	2674	5101
344	2682	5092
345	2689	5082
346	2695	5073
347	2702	5063
348	2710	5055
349	2717	5045
350	2724	5037
351	2731	5027
352	2738	5018
353	2745	5009
354	2751	4999
355	2758	4990
356	2765	4980
357	2772	4971
358	2779	4962
359	2786	4953
360	2794	4946
361	2801	4937
362	2808	4928
363	2815	4919
364	2823	4911
365	2830	4902
366	2836	4893
367	2844	4884
368	2851	4875
369	2858	4867
370	2865	4857
371	2872	4849
372	2879	4840
373	2886	4831
374	2894	4823
375	2901	4814
376	2908	4806
377	2915	4797
378	2922	4789
379	2930	4780
380	2936	4771
381	2944	4762
382	2951	4753
383	2958	4745
384	2966	4738
385	2973	4730
386	2980	4721
387	2988	4713
388	2995	4704
389	3001	4695
390	3009	4686
391	3015	4677
392	3023	4669
393	3030	4660
394	3037	4652
395	3044	4643
396	3051	4634
397	3058	4625
398	3065	4617
399	3072	4608
400	3079	4600
401	3086	4592
402	3093	4582
403	3100	4574
404	3107	4565
405	3115	4557
406	3122	4548
407	3128	4540
408	3136	4531
409	3143	4523
410	3150	4514
411	3157	4506
412	3164	4497
413	3171	4489
414	3178	4479
415	3185	4471
416	3192	4463
417	3199	4455
418	3206	4446
419	3213	4437
420	3220	4428
421	3227	4420
422	3233	4411
423	3240	4402
424	3247	4394
425	3255	4386
426	3262	4377
427	3269	4369
428	3276	4360
429	3282	4351
430	3289	4343
431	3296	4334
432	3304	4326
433	3311	4318
434	3318	4310
435	3325	4301
436	3332	4292
437	3339	4284
438	3346	4275
439	3353	4267
440	3360	4259
441	3367	4250
442	3373	4242
443	3380	4233
444	3387	4224
445	3393	4215
446	3400	4206
447	3407	4198
448	3414	4190
449	3421	4182
450	3428	4173
451	3435	4165
452	3442	4156
453	3449	4148
454	3456	4139
455	3463	4131
456	3469	4122
457	3476	4114
458	3483	4105
459	3490	4097
460	3497	4088
461	3503	4080
462	3511	4072
463	3518	4064
464	3525	4055
465	3532	4047
466	3539	4039
467	3546	4031
468	3552	4022
469	3559	4013
470	3566	4005
471	3574	3998
472	3580	3989
473	3587	3981
474	3595	3973
475	3602	3965
476	3609	3957
477	3615	3948
478	3622	3939
479	3629	3931
480	3636	3923
481	3642	3915
482	3649	3906
483	3657	3899
484	3663	3890
485	3670	3882
486	3677	3874
487	3684	3865
488	3691	3857
489	3697	3848
490	3704	3840
491	3712	3832
492	3718	3824
493	3725	3816
494	3733	3808
495	3739	3800
496	3746	3792
497	3753	3783
498	3760	3775
499	3767	3767
500	3774	3759
501	3781	3751
502	3788	3743
503	3794	3734
504	3801	3726
505	3808	3718
506	3815	3710
507	3822	3702
508	3829	3693
509	3836	3685
510	3843	3678
511	3850	3670
512	3858	3662
513	3864	3654
514	3871	3645
515	3878	3637
516	3884	3629
517	3891	3621
518	3898	3613
519	3905	3605
520	3912	3597
521	3919	3589
522	3926	3581
523	3933	3573
524	3940	3565
525	3947	3557
526	3954	3549
527	3962	3541
528	3969	3533
529	3975	3525
530	3982	3517
531	3990	3510
532	3997	3502
533	4004	3494
534	4012	3487
535	4020	3480
536	4027	3472
537	4034	3464
538	4041	3456
539	4048	3448
540	4055	3440
541	4062	3433
542	4069	3425
543	4076	3417
544	4084	3409
545	4091	3401
546	4097	3393
547	4104	3385
548	4111	3377
549	4118	3369
550	4125	3361
551	4132	3353
552	4139	3346
553	4146	3338
554	4153	3330
555	4160	3322
556	4167	3314
557	4174	3306
558	4181	3298
559	4188	3290
560	4195	3282
561	4202	3275
562	4209	3267
563	4216	3259
564	4223	3251
565	4230	3243
566	4237	3235
567	4244	3228
568	4251	3220
569	4258	3212
570	4265	3204
571	4271	3196
572	4278	3188
573	4285	3180
574	4300	3178
575	4307	3170
576	4314	3162
577	4320	3154
578	4328	3146
579	4334	3138
580	4342	3131
581	4349	3124
582	4356	3116
583	4363	3108
584	4370	3100
585	4376	3092
586	4383	3084
587	4389	3075
588	4396	3068
589	4403	3060
590	4410	3052
591	4417	3044
592	4424	3036
593	4431	3028
594	4438	3021
595	4445	3013
596	4452	3005
597	4459	2997
598	4466	2990
599	4473	2982
600	4479	2974
601	4486	2966
602	4493	2958
603	4500	2950
604	4507	2942
605	4513	2934
606	4520	2926
607	4527	2919
608	4534	2911
609	4541	2903
610	4548	2895
611	4555	2887
612	4561	2880
